"","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","cond","test_part","correct_response","correct","summary.rt_real","summary.ant_resp_pct","summary.fa_pct","summary.miss_pct","summary.mistakes","summary.ACC"
"52", 336.1,"img/cRT2.png", 90,"image-keyboard-response",51,45016,"0.0-15.0-1.7","vis_ch","training_test","x",FALSE,NA,NA,NA,NA,NA,NA
"53", 959.0,"<p>Du svarede rigtigt 86 % af gangene </p><p>og din gennemsnitlige reaktionstid her i træningsrunden var </p><p><strong> 326ms </strong></p><p>Du trykkede for tidligt 21 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at fortsætte</strong></i></p>", 32,"html-keyboard-response",52,45977,"0.0-16.0","vis_ch","feedback_training",NA,NA,326,  7, 21,NA,  1, 86
"54", 558.1,"<p><strong>Nu kommer den rigtige test af din reaktionstid</strong>.</p> <p>Når du ser krydset, skal du trykke på den tilhørende tast så hurtigt som du kan. </p><p class='gap-above'> Husk: </p><div class='instr-img'>     <img src='img/reminder.png'></img><p class='largegap-above'>Er du klar? Opgaven handler om fart!</p><p class='smallgap-above'><strong><i>Tryk på mellemrumstasten for at starte</strong></i></p>", 32,"html-keyboard-response",53,46536,"0.0-17.0","vis_ch","instructions",NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"img/cRT_fix.png",NA,"image-keyboard-response",54,48288,"0.0-18.0-0.0","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"56", 335.5,"img/cRT4.png",188,"image-keyboard-response",55,48624,"0.0-18.0-1.0","vis_ch","test",".",FALSE,NA,NA,NA,NA,NA,NA
"57", 119.5,"img/cRT_fix.png",190,"image-keyboard-response",56,49626,"0.0-18.0-0.1","vis_ch","fixation","null",FALSE,NA,NA,NA,NA,NA,NA
"58", 341.4,"img/cRT3.png",188,"image-keyboard-response",57,49968,"0.0-18.0-1.1","vis_ch","test",",",TRUE,NA,NA,NA,NA,NA,NA
"59",NA,"img/cRT_fix.png",NA,"image-keyboard-response",58,52219,"0.0-18.0-0.2","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"60", 338.8,"img/cRT1.png", 88,"image-keyboard-response",59,52561,"0.0-18.0-1.2","vis_ch","test","z",FALSE,NA,NA,NA,NA,NA,NA
"61",NA,"img/cRT_fix.png",NA,"image-keyboard-response",60,54812,"0.0-18.0-0.3","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"62",  76.3,"img/cRT2.png",188,"image-keyboard-response",61,54889,"0.0-18.0-1.3","vis_ch","test","x",FALSE,NA,NA,NA,NA,NA,NA
"63",NA,"img/cRT_fix.png",NA,"image-keyboard-response",62,57140,"0.0-18.0-0.4","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"64", 244.3,"img/cRT3.png",188,"image-keyboard-response",63,57385,"0.0-18.0-1.4","vis_ch","test",",",TRUE,NA,NA,NA,NA,NA,NA
"65",NA,"img/cRT_fix.png",NA,"image-keyboard-response",64,59386,"0.0-18.0-0.5","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"66", 389.2,"img/cRT4.png",190,"image-keyboard-response",65,59776,"0.0-18.0-1.5","vis_ch","test",".",TRUE,NA,NA,NA,NA,NA,NA
"67",NA,"img/cRT_fix.png",NA,"image-keyboard-response",66,61529,"0.0-18.0-0.6","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"68", 318.8,"img/cRT1.png", 88,"image-keyboard-response",67,61848,"0.0-18.0-1.6","vis_ch","test","z",FALSE,NA,NA,NA,NA,NA,NA
"69",NA,"img/cRT_fix.png",NA,"image-keyboard-response",68,64350,"0.0-18.0-0.7","vis_ch","fixation","null",TRUE,NA,NA,NA,NA,NA,NA
"70", 434.4,"img/cRT2.png", 88,"image-keyboard-response",69,64785,"0.0-18.0-1.7","vis_ch","test","x",TRUE,NA,NA,NA,NA,NA,NA
"71",1773.8,"<p>Du svarede rigtigt 67 % af gangene </p><p>og din gennemsnitlige reaktionstid var </p><p><strong> 337ms </strong></p><p>Du trykkede for tidligt 25 % af gangene </p></div><p class='gap-above'><strong><i>Tryk på mellemrumstasten for at afslutte denne reaktionstids-test</strong></i></p>", 32,"html-keyboard-response",70,66561,"0.0-19.0","vis_ch","feedback_real",NA,NA,337,  0, 33,NA,  4, 67
